OBJECTID,bcr_label,bcr_label_name,name_en,name_fr,name_sp,globalid,SHAPE_Length,SHAPE_Area
257,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{4B6F685F-AC88-4B3B-841F-9A9C8F2740C2},4453.46400633618,840339.395007109
258,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{7CD41FCE-F663-4D25-A026-D6EA3763A5E9},14492.8333720037,9259900.89656243
259,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{5E76477F-169A-43D2-B8DA-68F935381014},186809.73063146,377004316.240768
260,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{E797AD2C-2AFB-4842-A99E-68CA72C6B082},28670.0392581086,18251164.0966087
261,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{4A9D06B6-90CA-4D0D-B19B-1AC1E2A7C1BB},30390.3855838508,18171937.3024682
262,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{337D14E2-E282-41B2-ABE7-09E84C7325DB},35693.7811136168,31200600.2053414
263,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{8ADB705A-DA40-45BD-8842-8473AD869CD9},3360.81365770754,638006.435739
264,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{6332BF00-CB36-43A9-84D2-F8BC0CA36451},6761.23575491128,1744062.47911072
265,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{EAF011B2-DB76-4BA9-881F-D12D3C140555},3275.89373139479,551859.034569267
266,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{2B641612-4DC1-4558-90D5-1585F5DF1E39},5812.99805572302,1875652.11153651
267,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{08CB2567-3D34-43BF-9586-033E936E2636},31161.2794386196,16706196.7032039
268,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{142A34AD-0C14-4354-8756-40E062081CB9},3285.28193267259,601940.500418739
269,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{87F1B46B-D244-41B2-8348-2CC7F0A5EBFF},3308.77679097749,457761.34450414
270,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{E82DBAF5-44F2-4492-8B56-D80D07DD72E6},5926.41722063455,1278371.61087628
271,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{F89CA51C-742C-4FD8-805B-3469F54F3727},3910.38180320281,787472.319963286
272,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{DF21DB54-41D3-4382-8424-F20721FF739C},4332.70684761832,868920.911428279
273,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{89EA809C-0AE5-49B5-9777-5FBF19B34864},3070.27088069916,503543.239918436
274,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{DE1F3FC0-9827-4FBA-97E2-9A459B66D854},97259.5595361197,102998211.608638
275,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{9685FFC6-06C8-4D79-83A8-AD33E0A4EB3E},3240.8052487212,612678.414881447
276,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{104F8795-5442-4F85-9D2A-49CD48B282F4},20290.7965465618,20421841.9363198
277,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{DDB3D011-2E81-4003-A352-B97D9FB7C8AC},6815.7150651687,1717808.52478476
278,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{72447999-876D-47B1-9A22-73B8F9202296},5696.5165184769,1135740.88861129
279,8E,Boreal Softwood Shield East,Boreal Softwood Shield East,Forêt boréale du bouclier est,,{ECF5996B-EB46-4F0A-8097-3EDA482FA41C},3397.37127063778,553115.32605129
280,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{1B7FD222-B6E0-47F2-835B-4162F0C9A0B6},8131.25403907696,2391114.98268736
281,8E,Boreal Softwood Shield East,Boreal Softwood Shield East,Forêt boréale du bouclier est,,{29121B6A-7ADE-430E-8653-69C6BD8518D3},5435.49357180102,1409896.6964548
282,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{D0CCB7B2-9B0B-4914-91A4-F7E0E96B46A6},26061.0926681444,22683066.7399856
283,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{29575248-160E-4734-AA1F-E2C9D482B87F},37487.4841487519,50137170.0533486
284,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{56CBF2BA-879C-4BBF-BE56-7914268FA600},3250.39132541846,605877.07363116
285,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{0704E85F-EC79-4A55-B102-CB88D5AA7D09},3039.30931727575,545326.748597561
286,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{854E701B-D000-40FF-8C49-DE9AAB30B07B},5048.37417852412,1205896.08602383
287,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{ACE1CBF7-AE55-4392-9A35-E595A3E3272F},4144.86552002986,649554.511370967
288,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{97E82CE5-28B8-4588-A04D-5E2617CFA81F},5421.38293733632,1374042.1250593
289,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{C47FB932-E025-4C04-93AC-6D64EDD89DA0},6866.11319517177,2013514.96928614
290,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{3F325755-7460-4C46-8DFB-7E7F45D192B8},3236.84004517889,667349.5414589
291,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{55C02FED-F125-4BA5-B1B8-CA9396CEF1A0},3554.68708564813,800880.322837506
292,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{FAB26BF9-286B-4F65-B28A-335221034115},3272.31427057434,532747.204309407
293,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{20CBFF03-D5E5-4BCE-8F81-CDC1D3858352},5104.40001624733,979987.984268702
294,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{192DFBD6-1253-4055-B135-5874DBCABBBA},11327.0034304598,5403561.52551272
295,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{418E1F80-B341-4DF6-B20F-5B2CB4C37BD1},7762.7126420332,3012036.33784917
296,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{3114229D-A40B-4088-AB61-EA31CB059F4A},12017.5083137108,7145789.65411922
297,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{FFF38770-1FC4-4E49-AAF1-10F589C62E18},39887.774045983,50416492.5909553
298,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{3ED2F199-E60A-4E92-BF6F-4D0FEDD35D90},3167.27532610997,402345.285937424
299,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{D2A2DAD9-F5BC-47CC-8F26-0B0E3D4C6E73},3014.49344570444,576393.013806224
300,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{54F1B4C4-1191-4DEE-8598-1E36C8565BB0},19274.901522897,10730098.3367668
301,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{3A60F642-E002-4CAC-B8E3-2E4AD111A3F6},11021.137234088,3989269.19164928
302,8E,Boreal Softwood Shield East,Boreal Softwood Shield East,Forêt boréale du bouclier est,,{C57CD4D0-F131-4674-B47D-635320742A1A},7283.87396678675,2448707.41650079
303,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{490EAD9A-8B5C-4A97-8089-4AC40CAAA953},3823.38516888692,722849.278974806
304,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{998E0B5D-C105-4CCD-BB3F-08743F65F118},5610.50395565881,1699643.68251566
305,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{578E70E0-E518-4CCA-A80F-73FBD0867DBB},5353.48937792346,1108568.83375716
306,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{DFD44A13-63C6-49AA-A57A-08379743F9DC},3490.05742196691,805434.543530823
307,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{6C6C4038-A872-40AE-A83B-A964B250358D},3349.6561399221,708632.117455645
308,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{B54B883E-4366-4990-8DB1-7CA447A038EA},3069.49103778837,596687.829679648
309,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{EED5B305-685A-4F91-BFE5-FBD300E22329},4671.8882746272,951565.39867806
